"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Africa","Production","2019","tonnes","1092651.00","A"
"Africa","Production","2018","tonnes","1062215.00","A"
"Africa","Production","2017","tonnes","1190381.00","A"
"Africa","Production","2016","tonnes","1139255.00","A"
"Africa","Production","2015","tonnes","1220562.00","A"
"Africa","Production","2014","tonnes","1238673.00","A"
"Africa","Production","2013","tonnes","1233291.00","A"
"Africa","Production","2012","tonnes","1184515.00","A"
"Africa","Production","2011","tonnes","1092767.00","A"
"Africa","Production","2010","tonnes","1012998.00","A"
"Africa","Production","2009","tonnes","1134928.00","A"
"Africa","Production","2008","tonnes","1155481.00","A"
"Africa","Production","2007","tonnes","1111514.00","A"
"Africa","Production","2006","tonnes","1133390.00","A"
"Africa","Production","2005","tonnes","1014906.00","A"
"Africa","Production","2004","tonnes","1101342.00","A"
"Africa","Production","2003","tonnes","1019312.00","A"
"Africa","Production","2002","tonnes","842935.00","A"
"Africa","Production","2001","tonnes","762310.00","A"
"Africa","Production","2000","tonnes","819992.00","A"
"Africa","Production","1999","tonnes","946125.00","A"
"Africa","Production","1998","tonnes","882404.00","A"
"Africa","Production","1997","tonnes","933601.00","A"
"Africa","Production","1996","tonnes","945989.00","A"
"Africa","Production","1995","tonnes","866332.00","A"
"Africa","Production","1994","tonnes","836786.00","A"
"Africa","Production","1993","tonnes","770208.00","A"
"Africa","Production","1992","tonnes","897968.00","A"
"Africa","Production","1991","tonnes","938394.00","A"
"Africa","Production","1990","tonnes","886010.00","A"
"Africa","Production","1989","tonnes","955065.00","A"
"Africa","Production","1988","tonnes","914237.00","A"
"Africa","Production","1987","tonnes","942984.00","A"
"Africa","Production","1986","tonnes","832087.00","A"
"Africa","Production","1985","tonnes","928887.00","A"
"Africa","Production","1984","tonnes","1035471.00","A"
"Africa","Production","1983","tonnes","1085677.00","A"
"Africa","Production","1982","tonnes","1016773.00","A"
"Africa","Production","1981","tonnes","1084371.00","A"
"Africa","Production","1980","tonnes","1153595.00","A"
"Africa","Production","1979","tonnes","1084089.00","A"
"Africa","Production","1978","tonnes","906443.00","A"
"Africa","Production","1977","tonnes","903128.00","A"
"Africa","Production","1976","tonnes","1121539.00","A"
"Africa","Production","1975","tonnes","1227090.00","A"
"Africa","Production","1974","tonnes","1375559.00","A"
"Africa","Production","1973","tonnes","1367441.00","A"
"Africa","Production","1972","tonnes","1335043.00","A"
"Africa","Production","1971","tonnes","1701812.00","A"
"Africa","Production","1970","tonnes","1481259.00","A"
"Africa","Production","1969","tonnes","1523779.00","A"
"Africa","Production","1968","tonnes","1766897.00","A"
"Africa","Production","1967","tonnes","1315634.00","A"
"Africa","Production","1966","tonnes","1439161.00","A"
"Africa","Production","1965","tonnes","2389869.00","A"
"Africa","Production","1964","tonnes","1856545.00","A"
"Africa","Production","1963","tonnes","2070770.00","A"
"Africa","Production","1962","tonnes","2232189.00","A"
"Africa","Production","1961","tonnes","2041926.00","A"
"Albania","Production","2019","tonnes","15925.00","Im"
"Albania","Production","2018","tonnes","15290.00","Im"
"Albania","Production","2017","tonnes","16868.00","Im"
"Albania","Production","2016","tonnes","17800.00",""
"Albania","Production","2015","tonnes","16400.00",""
"Albania","Production","2014","tonnes","17500.00",""
"Albania","Production","2013","tonnes","18000.00",""
"Albania","Production","2012","tonnes","19000.00",""
"Albania","Production","2011","tonnes","18000.00",""
"Albania","Production","2010","tonnes","18100.00",""
"Albania","Production","2009","tonnes","17500.00","F"
"Albania","Production","2008","tonnes","16120.00","Im"
"Albania","Production","2007","tonnes","17830.00","Im"
"Albania","Production","2006","tonnes","17000.00","F"
"Albania","Production","2005","tonnes","17144.00",""
"Albania","Production","2004","tonnes","14024.00",""
"Albania","Production","2003","tonnes","9164.00",""
"Albania","Production","2002","tonnes","6625.00",""
"Albania","Production","2001","tonnes","14228.00",""
"Albania","Production","2000","tonnes","7413.00",""
"Albania","Production","1999","tonnes","12708.00",""
"Albania","Production","1998","tonnes","10503.00",""
"Albania","Production","1997","tonnes","16777.00",""
"Albania","Production","1996","tonnes","29285.00",""
"Albania","Production","1995","tonnes","16922.00",""
"Albania","Production","1994","tonnes","9640.00",""
"Albania","Production","1993","tonnes","8906.00",""
"Albania","Production","1992","tonnes","11800.00",""
"Albania","Production","1991","tonnes","11200.00",""
"Albania","Production","1990","tonnes","35000.00",""
"Albania","Production","1989","tonnes","25600.00",""
"Albania","Production","1988","tonnes","25300.00",""
"Albania","Production","1987","tonnes","22000.00","F"
"Albania","Production","1986","tonnes","19000.00","F"
"Albania","Production","1985","tonnes","22700.00","F"
"Albania","Production","1984","tonnes","23000.00","F"
"Albania","Production","1983","tonnes","23500.00","F"
"Albania","Production","1982","tonnes","21000.00","F"
"Albania","Production","1981","tonnes","22900.00",""
"Albania","Production","1980","tonnes","21000.00","F"
"Albania","Production","1979","tonnes","17000.00","F"
"Albania","Production","1978","tonnes","18000.00","F"
"Albania","Production","1977","tonnes","15000.00","F"
"Albania","Production","1976","tonnes","13500.00","F"
"Albania","Production","1975","tonnes","13000.00","F"
"Albania","Production","1974","tonnes","15000.00","F"
"Albania","Production","1973","tonnes","12000.00","F"
"Albania","Production","1972","tonnes","13000.00","F"
"Albania","Production","1971","tonnes","9000.00","F"
"Albania","Production","1970","tonnes","11300.00","F"
"Albania","Production","1969","tonnes","10120.00",""
"Albania","Production","1968","tonnes","7190.00",""
"Albania","Production","1967","tonnes","6174.00",""
"Albania","Production","1966","tonnes","4767.00",""
"Albania","Production","1965","tonnes","4016.00",""
"Albania","Production","1964","tonnes","3069.00",""
"Albania","Production","1963","tonnes","2291.00",""
"Albania","Production","1962","tonnes","4570.00",""
"Albania","Production","1961","tonnes","3560.00",""
"Algeria","Production","2019","tonnes","20830.00","Im"
"Algeria","Production","2018","tonnes","19251.00","Im"
"Algeria","Production","2017","tonnes","22733.00","Im"
"Algeria","Production","2016","tonnes","6594.00","Im"
"Algeria","Production","2015","tonnes","9563.00","Im"
"Algeria","Production","2014","tonnes","12597.00","Im"
"Algeria","Production","2013","tonnes","49800.00","F"
"Algeria","Production","2012","tonnes","49200.00","F"
"Algeria","Production","2011","tonnes","48000.00","F"
"Algeria","Production","2010","tonnes","9094.00","Im"
"Algeria","Production","2009","tonnes","58840.00","Im"
"Algeria","Production","2008","tonnes","50000.00","F"
"Algeria","Production","2007","tonnes","52000.00","F"
"Algeria","Production","2006","tonnes","105000.00","F"
"Algeria","Production","2005","tonnes","90000.00","F"
"Algeria","Production","2004","tonnes","85000.00","F"
"Algeria","Production","2003","tonnes","60000.00","F"
"Algeria","Production","2002","tonnes","50000.00","F"
"Algeria","Production","2001","tonnes","42000.00","F"
"Algeria","Production","2000","tonnes","42362.00",""
"Algeria","Production","1999","tonnes","42156.00",""
"Algeria","Production","1998","tonnes","36000.00",""
"Algeria","Production","1997","tonnes","35700.00",""
"Algeria","Production","1996","tonnes","39200.00",""
"Algeria","Production","1995","tonnes","57100.00",""
"Algeria","Production","1994","tonnes","50000.00",""
"Algeria","Production","1993","tonnes","65000.00",""
"Algeria","Production","1992","tonnes","40957.00",""
"Algeria","Production","1991","tonnes","46000.00",""
"Algeria","Production","1990","tonnes","48500.00",""
"Algeria","Production","1989","tonnes","50373.00",""
"Algeria","Production","1988","tonnes","62100.00",""
"Algeria","Production","1987","tonnes","91780.00",""
"Algeria","Production","1986","tonnes","90630.00",""
"Algeria","Production","1985","tonnes","93810.00",""
"Algeria","Production","1984","tonnes","139380.00",""
"Algeria","Production","1983","tonnes","187567.00",""
"Algeria","Production","1982","tonnes","151400.00",""
"Algeria","Production","1981","tonnes","266888.00",""
"Algeria","Production","1980","tonnes","283751.00",""
"Algeria","Production","1979","tonnes","270976.00",""
"Algeria","Production","1978","tonnes","184000.00",""
"Algeria","Production","1977","tonnes","254876.00",""
"Algeria","Production","1976","tonnes","378273.00",""
"Algeria","Production","1975","tonnes","431900.00",""
"Algeria","Production","1974","tonnes","628172.00",""
"Algeria","Production","1973","tonnes","590984.00",""
"Algeria","Production","1972","tonnes","575338.00",""
"Algeria","Production","1971","tonnes","924700.00",""
"Algeria","Production","1970","tonnes","869200.00",""
"Algeria","Production","1969","tonnes","871050.00",""
